участке	участок	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
танками	танк	NOUN	Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur
предварительным	предварительный	ADJ	Case=Dat|Degree=Pos|Number=Plur
представляла	представлять	VERB	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
уважения	уважение	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
Сегодня	сегодня	ADV	Degree=Pos
обращались	обращаться	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid
новом	новый	ADJ	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing
новом	новый	ADJ	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing
появляются	появляться	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid
восторга	восторг	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
Возраст	возраст	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
сожалению	сожаление	NOUN	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
канале	канал	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
европейскими	европейский	ADJ	Case=Ins|Degree=Pos|Number=Plur
соответствии	соответствие	NOUN	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
остро	остро	ADV	Degree=Pos
кодекс	кодекс	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
июле	июль	NOUN	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
решился	решиться	VERB	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
лабораторией	лаборатория	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
треть	треть	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
треть	треть	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
1894	1894	NUM	_
изменяет	изменять	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
превышала	превышать	VERB	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
поменять	менять	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act
Байкальска	Байкальск	PROPN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
водород	водород	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
Великим	великий	ADJ	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing
уникальные	уникальный	ADJ	Case=Nom|Degree=Pos|Number=Plur
возникнет	возникнуть	VERB	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act
пылесосы	пылесос	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
стимулируют	стимулировать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act
плохо	плохой	ADJ	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short
плохо	плохо	ADV	Degree=Pos
преступлений	преступление	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
собственник	собственник	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
спокойствие	спокойствие	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
звонок	звонок	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
аналитической	аналитический	ADJ	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
Ленинградской	ленинградский	ADJ	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
аль	аль	PART	_
юристы	юрист	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
реальном	реальный	ADJ	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing
реальном	реальный	ADJ	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing
изобрести	изобрести	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act
хохотать	хохотать	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act
надежно	надежно	ADV	Degree=Pos
затруднительно	затруднительный	ADJ	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short
мужества	мужество	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
армия	армия	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
входящих	входить	VERB	Aspect=Imp|Case=Gen|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act
